Species count,Family,Genus,Species,Common Name,Plant Type,Geographic Location,Nectary Location,Ecological Study,Reference,Notes,genus species,,,,,,,,,,,,,,,,
1,Acanthaceae,Acanthus,sp.,,,,,,Bentley 1977,,Acanthus sp.,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,albert-smithii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra albert-smithii,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,barkleyi,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra barkleyi,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,deppeana,,,,bracteal: see McDade & Turner 1997,,Deuth 1977; McDade and Turner 1997,,Aphelandra deppeana,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,dielsii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra dielsii,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,fasciculata,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra fasciculata,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,fernandezii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra fernandezii,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,glabrata,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra glabrata,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,golfodulcensis,,,,bracteal: see McDade & Turner 1997,,Durkee 1987; McDade and Turner 1997,,Aphelandra golfodulcensis,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,gracilis,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra gracilis,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,grandis,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra grandis,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,hartwegiana,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra hartwegiana,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,hylaea,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra hylaea,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,impress,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra impress,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,lasia,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra lasia,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,leonardii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra leonardii,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,lingua-bovis,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra lingua-bovis,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,macrophylla,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra macrophylla,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,macrophylla,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra macrophylla,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,panamensis,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra panamensis,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,pharangophila,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra pharangophila,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,pulcherrima,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra pulcherrima,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,scabra,,,,bracteal: see McDade & Turner 1997,,Durkee 1987; McDade and Turner 1997,,Aphelandra scabra,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,scolnikae,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra scolnikae,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,sinclairiana,,,,bracteal: see McDade & Turner 1997,,Durkee 1987; McDade and Turner 1997,,Aphelandra sinclairiana,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,sp.,,,,,,Mizell 2004,,Aphelandra sp.,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,storkii,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra storkii,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,terryae,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra terryae,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,tetragona,,herb,,bracteal: see McDade & Turner 1997,"""probable identification error by Zimmermann's source"" McDade and Turner 1997; real A. tetragona described in McD&T",Zimmermann 1932; McDade and Turner 1997,,Aphelandra tetragona,,,,,,,,,,,,,,,,
1,Acanthaceae,Aphelandra,unnamed species,,,,bracteal: see McDade & Turner 1997,,McDade and Turner 1997,,Aphelandra unnamed species,,,,,,,,,,,,,,,,
1,Acanthaceae,Avicennia,sp.,black mangrove,,,,,Bentley 1977,salt glands not nectaries?,Avicennia sp.,,,,,,,,,,,,,,,,
1,Acanthaceae,Barleria,diacantha,,,,,,Zimmermann 1932,,Barleria diacantha,,,,,,,,,,,,,,,,
1,Acanthaceae,Barleria,eranthemoides,,,,,,Zimmermann 1932,,Barleria eranthemoides,,,,,,,,,,,,,,,,
1,Acanthaceae,Barleria,trispinosa,,,,,,Zimmermann 1932,(? trispina),Barleria trispinosa,,,,,,,,,,,,,,,,
1,Acanthaceae,Brachystephanus,sp.,,,,bract,,McDade and Turner 1997,,Brachystephanus sp.,,,,,,,,,,,,,,,,
1,Acanthaceae,Ruellia,brachysiphon,,,,leaves,,Ezcurra 1993,,Ruellia brachysiphon,,,,,,,,,,,,,,,,
1,Acanthaceae,Ruellia,bulbifera,,,,"leaves, bracts, calyx",,Ezcurra 1993,,Ruellia bulbifera,,,,,,,,,,,,,,,,
1,Acanthaceae,Ruellia,coerulea,,,,"leaves, bracts, calyx",,Ezcurra 1993,,Ruellia coerulea,,,,,,,,,,,,,,,,
1,Acanthaceae,Ruellia,erythropus,,,,"leaves, bracts, calyx",,Ezcurra 1993,,Ruellia erythropus,,,,,,,,,,,,,,,,
1,Acanthaceae,Ruellia,hypercoides,,,,leaves,,Ezcurra 1993,,Ruellia hypercoides,,,,,,,,,,,,,,,,
1,Acanthaceae,Ruellia,macrosolen,,,,bracteoles,,Ezcurra 1993,,Ruellia macrosolen,,,,,,,,,,,,,,,,
1,Acanthaceae,Ruellia,multifolia,,,,"leaves, bracts, calyx",,Ezcurra 1993,,Ruellia multifolia,,,,,,,,,,,,,,,,
1,Acanthaceae,Ruellia,radicans,,,French Guiana,floral bracts,Gracie 1991,Gracie 1991,Floral nectary continues secretion: ants taking postfloral nectar defend plants,Ruellia radicans,,,,,,,,,,,,,,,,
1,Acanthaceae,Thunbergia,erecta,,,,,,Zimmermann 1932,,Thunbergia erecta,,,,,,,,,,,,,,,,
1,Acanthaceae,Thunbergia,grandiflora,,vine,,outside of calyx,,Zimmermann 1932; Liu and Chen 2008,,Thunbergia grandiflora,,,,,,,,,,,,,,,,
1,Acanthaceae,Thunbergia,laurifolia,,,,,Zimmermann 1932,Zimmermann 1932,"Zimmermann says they are present and that ""Cammerloher didn't find any""",Thunbergia laurifolia,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,canadensis,,shrub,,"""twigs with stipular glandular appendages on the nodes; rachis not rarely with small gland-tipped leafy appendages""",,Kern and van Steenis 1958,,Sambucus canadensis,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,coerula,,,,,,"D.W. Inouye, unpub.",,Sambucus coerula,,,,,,,,,,,,,,,,
1,Adoxaceae,Sambucus,ebulus,,,,,,Zimmermann 1932; Offenberg 2000,,Sambucus ebulus,,,,,,,,,,,,,,,,
