"","species","n","precip_maxquant","precip_minquant","precip_mean","precip_median","nitro_maxquant","nitro_minquant","nitro_mean","nitro_median","temp_maxquant","temp_minquant","temp_mean","temp_median","max_lat","min_lat","mean_lat","median_lat","median_long","quant95","quant005","num_biome","biome","precip_range","temp_range","nitro_range","genus","fixer","woody","annual","uses_num_uses","Domatia","EFN","abs_med_lat"
"1","Trifolium_pauciflorum",198,950.399999999999,396.8,653.94923857868,650,212.4,118.3,162.989304812834,159,19.808332824707,14.401667022705,17.05418783275,17.0208339691162,41.011578,31.575869,34.1522745,33.13,35.778993,38.2865063,32.37436885,3,"12",553.599999999999,5.40666580200196,94.1,"Trifolium",1,0,1,0,0,0,33.13
"2","Trifolium_globosum",87,858.6,401.4,593.129411764706,559,276.8,122,193.072463768116,191,18.6924995422363,11.4258333206177,15.9871077930226,16.2583332061768,49.8,-35.832917,24.6693741954023,37.6,26.066667,41.0345541,-33.2905735,4,"12",457.2,7.26666622161864,154.8,"Trifolium",1,0,1,0,0,0,37.6
"3","Trifolium_dichotomum",215,1701,400,984.788732394366,967,307.75,123,189.755102040816,172.5,15.7725002288818,9.99083309173582,13.3571009747859,13.8208332061768,48.883333,33.2295,39.1084342093023,38.652861,-122.517187,44.09804,35.6783176,5,"12",1301,5.78166713714598,184.75,"Trifolium",1,0,1,0,0,0,38.652861
"4","Trifolium_albopurpureum",1019,1124.3,301,608.382121807466,554,246.6,100,160.172342621259,149,17.6166667938232,11.7708330154419,14.5344261795224,14.5708332061768,48.91667,29.22917,35.8669118776251,35.138006,-119.805,40.3282641,32.8910823,5,"12",823.3,5.8458337783813,146.6,"Trifolium",1,0,0,0,0,0,35.138006
"5","Trifolium_ciliolatum",1092,1143.6,322,643.943014705882,570,261.25,115.75,172.9859437751,163.5,17.6750004768372,12.0737498283386,14.9120174831136,14.9125003814697,45.715,31.983469,36.24861311337,36.155996,-120.1982855,40.06654205,32.900975,5,"12",821.6,5.60125064849851,145.5,"Trifolium",1,0,1,0,0,0,36.155996
"6","Trifolium_gracilentum",814,879,227.5,481.87176325524,440,283,86,162.300546448087,149,17.8875007629394,12.4750003814697,15.1790176872554,15.1291666030884,48.75972,29.012333,35.2134714072482,34.788395,-119.583743,38.5579317,32.722631,5,"12",651.5,5.41250038146975,197,"Trifolium",1,0,1,0,0,0,34.788395
"7","Trifolium_bifidum",494,1442.8,464,831.312373225152,746,274.35,119,178.187224669604,170,16.5883335113525,11.2608331680298,14.1446670054422,14.2291669845581,47.60639,34,38.5979958536437,38.3432135,-122.155139,43.99664975,35.30871,4,"12",978.8,5.32750034332274,155.35,"Trifolium",1,0,0,0,0,0,38.3432135
"8","Trifolium_oliganthum",239,1763.6,380.85,916.231092436975,816,515.5,117,226.104265402844,174,16.7762495994568,8.67000012397766,12.9285889453247,13.5187497138977,50.1091,34.3438,40.5246006368201,38.59238,-122.17579,48.7042765,35.28084627,5,"12",1382.75,8.10624947547915,398.5,"Trifolium",1,0,1,0,0,0,38.59238
"9","Trifolium_microcephalum",1607,1629.5,286,727.953212726139,593,396,104.1,200.165879973028,174,17.4704162597656,7.07624983787537,13.0431768642094,13.6083335876465,64.866667,23.5,38.0019438451774,37.2267,-120.2739,48.007723,32.864668,7,"12",1343.5,10.3941664218902,291.9,"Trifolium",1,0,1,0,0,0,37.2267
"10","Trifolium_haydenii",110,661.1,380.6,531.618181818182,553.5,337.2,203.4,267.532110091743,257,5.40770828723907,-1.49395830631256,1.10636364175007,0.483333319425583,47.1149,43.750607,44.9805490018182,44.9821365,-111.1184945,45.906024825,44.1433656,3,"5",280.5,6.90166659355163,133.8,"Trifolium",1,0,0,0,0,0,44.9821365
"11","Trifolium_microdon",297,1715.7,308.1,897.098305084746,832,424.75,119.75,209.8203125,179,16.2970832824707,9.24625005722046,13.457443531489,13.875,49.149796,-35.8156,38.5893226575758,38.371111,-122.2732,48.3994138,33.37079706,5,"12",1407.6,7.05083322525024,305,"Trifolium",1,0,1,0,0,0,38.371111
"12","Trifolium_nanum",363,984.9,447.4,716.168044077135,705,365.15,208.95,284.505555555556,280,2.39416670799255,-2.5199999332428,-0.740415516699416,-1.14166665077209,46.664577,35.794875,39.3856083410468,39.206773,-106.076347,44.9825829,37.0395917,3,"5",537.5,4.91416664123535,156.2,"Trifolium",1,0,0,0,0,0,39.206773
"13","Trifolium_parryi",562,943.75,435.05,656.033807829181,653,346.4,196,265.215439856373,262,2.22229180335998,-2.22000019550324,-0.457028466941344,-0.774999916553497,45.691457,36.558758,39.9517696713523,39.6358355,-106.2964065,45.0023731,37.62283985,3,"5",508.7,4.44229199886322,150.4,"Trifolium",1,0,0,0,0,0,39.6358355
"14","Trifolium_kingii",94,793.75,356,491.968085106383,444,290.4,119.2,203.548387096774,209,10.9562503814697,1.42416653633117,6.2890514109997,6.1729166507721,42.683761,36.48667,38.2495734893617,37.814886,-112.9012415,40.4702229,37.07344785,2,"13",437.75,9.53208384513852,171.2,"Trifolium",1,0,0,0,0,0,37.814886
"15","Trifolium_depauperatum",1258,1143.5,270,668.273089171975,609,311.55,90.15,170.416370106762,152,17.6645836830139,11.6833333969116,15.0517847724022,15.239583492279,49.5,-36.142056,36.8760613319555,37.9181345,-121.68529,42.4254645,32.848354,5,"12",873.5,5.98125028610228,221.4,"Trifolium",1,0,1,0,0,0,37.9181345
"16","Trifolium_willdenovii",3661,1392,291,703.6432298819,605,326.25,106,186.208581644815,167,17.5541667938232,10.1833333969116,14.5077760194591,14.7250003814697,50.23996,-34.809147,37.0588145999454,37.176425,-121.201003,45.69611,32.76893,6,"12",1101,7.3708333969116,220.25,"Trifolium",1,0,1,0,0,0,37.176425
"17","Trifolium_variegatum",1451,1452.8,267,728.008281573499,635,341.3,88,177.011295180723,156,16.9924991607666,6.53833341598511,12.6847854815655,13.4208335876465,50.128046,30.69192,38.585868857133,38.25,-120.818921,47.00426105,32.9956165,6,"12",1185.8,10.4541657447815,253.3,"Trifolium",1,0,1,0,0,0,38.25
"18","Trifolium_wormskioldii",1668,2051.25,234.25,803.443499392467,641,548.5,96.5,228.046948356808,195,17.1708326339721,4.63020825386048,10.3313664436014,10.0604166984558,53.612436,14.8667,36.4585451638489,37.40558,-118.3269955,47.65928,19.8585276,8,"5",1817,12.5406243801116,452,"Trifolium",1,0,0,1,0,0,37.40558
"19","Trifolium_barbigerum",219,1104.5,400.8,731.7899543379,725,264.1,116.15,182.71568627451,173.5,16.1395832061768,12.4141669273376,14.0634322884965,13.9291667938232,43.356291,33.95495,37.1652046278539,37.13732,-121.8054,38.5549603,34.6425,4,"12",703.7,3.72541627883916,147.95,"Trifolium",1,0,1,0,0,0,37.13732
"20","Trifolium_cyathiferum",481,1608,290,745.380457380457,590,397.2,122.8,239.147826086957,221,11.5666666030884,3.86666655540466,7.20449583099191,7.00833320617676,64.4346,34.6923,41.7864818469854,41.3198,-120.065695,47.30778,38.1495,6,"5",1318,7.70000004768374,274.4,"Trifolium",1,0,1,0,0,0,41.3198
"21","Trifolium_fucatum",434,1581,420.8,839.384615384615,736,286.8,115,185.158441558442,173,16.3383338928223,11.0033336639404,14.0397727250497,14.0791664123535,47.60639,32,38.0091167714286,38.35956,-122.3258265,40.9371394,34.380054195,4,"12",1160.2,5.33500022888186,171.8,"Trifolium",1,0,1,0,0,0,38.35956
"22","Trifolium_longipes",1925,1822.6,323.2,826.529350649351,621,457.6,140,264.587344510546,240,10.5308336257934,0.930833327770233,5.43732035206897,5.49166679382324,48.48222,19.295511,41.2223128312727,41.211722,-119.6,46.712196,35.3865544,6,"5",1499.4,9.60000029802318,317.6,"Trifolium",1,0,0,0,0,0,41.211722
"23","Trifolium_beckwithii",86,747.25,247.5,488.848837209302,496,342,152,226.58024691358,221,8.88750052452087,4.44791686534881,7.31375970396885,7.77291655540466,46.4747,38.52,41.8367702581395,41.1451876,-120.3279145,46.13088675,39.56718875,3,"5",499.75,4.43958365917206,190,"Trifolium",1,0,0,0,0,0,41.1451876
"24","Trifolium_polymorphum",181,1566,411,1132.5635359116,1213,323.4,108.95,204.902597402597,202.5,21.1708335876465,12.9833335876465,17.7729743040728,18.2875003814697,37.608333,-38.92,-29.8500949668508,-31.603712,-58.073056,-25.695556,-37.753333,7,"7",1155,8.1875,214.45,"Trifolium",1,0,0,0,0,0,31.603712
"25","Trifolium_dasyphyllum",593,794.2,402.6,628.025295109612,646,351,178.2,261.953846153846,260,4.96000003814697,-2.3958333492279,0.0206576758747513,-0.591666698455811,48.017946,35.187117,39.8685313268128,39.652915,-106.082451,44.9705344,37.9023812,3,"5",391.6,7.35583338737487,172.8,"Trifolium",1,0,0,0,0,0,39.652915
"26","Trifolium_bejariense",64,1369.15,829.65,959.484375,917,156.25,84.25,111.25,109.5,21.2745837211609,17.2254174232483,19.5635416209698,19.6062498092652,33.805749,28.46733,30.3898040625,30.145201,-97.190976,33.3452901,28.64809945,4,"4",539.499999999999,4.04916629791259,72,"Trifolium",1,0,1,0,0,0,30.145201
"27","Trifolium_carolinianum",169,1565.75,892,1258.72891566265,1283,672.7,82.45,217.861538461538,129.5,20.6395835876465,13.9895834922791,18.466842392841,19.2249994277954,42.20889,27.778273,31.8787170946746,30.749082,-88.138138,37.0990558,29.448864,4,"5",673.75,6.65000009536745,590.25,"Trifolium",1,0,1,0,0,0,30.749082
"28","Trifolium_reflexum",385,1445.6,914.4,1176.43116883117,1173,263.5,93.5,156.29754601227,137,19.2891662597656,11.3083333969116,14.8161363804398,14.5749998092651,51,18.986667,35.8804708571429,35.963086,-92.233145,40.0907554,30.5936974,8,"4",531.2,7.98083286285404,170,"Trifolium",1,0,1,0,0,0,35.963086
