"","species","genus","fixer","woody","annual","uses_num_uses","Domatia","EFN"
"1","Abarema_auriculata","Abarema",1,1,0,0,0,0
"2","Abarema_barbouriana","Abarema",1,1,0,0,0,0
"3","Abarema_brachystachya","Abarema",1,1,0,0,0,0
"4","Abarema_campestris","Abarema",1,1,0,0,0,0
"5","Abarema_cochleata","Abarema",1,1,0,0,0,0
"6","Abarema_cochliocarpos","Abarema",1,1,0,0,0,0
"7","Abarema_filamentosa","Abarema",1,1,0,0,0,0
"8","Abarema_floribunda","Abarema",1,1,0,0,0,0
"10","Abarema_jupunba","Abarema",1,1,0,0,0,0
"13","Abarema_macradenia","Abarema",1,1,0,0,0,0
"14","Abarema_piresii","Abarema",1,1,0,0,0,0
"16","Abarema_turbinata","Abarema",1,1,0,0,0,0
"18","Abrus_fruticulosus","Abrus",1,1,0,1,0,0
"19","Abrus_precatorius","Abrus",1,1,0,7,0,0
"20","Acacia_abyssinica","Acacia",1,1,0,0,0,1
"22","Acacia_acinacea","Acacia",1,1,0,0,0,0
"23","Acacia_acradenia","Acacia",1,1,0,0,0,1
"26","Acacia_acuminata","Acacia",1,1,0,2,0,1
"27","Acacia_adenocalyx","Acacia",0,1,0,0,0,0
"29","Acacia_adsurgens","Acacia",1,1,0,0,0,0
"30","Acacia_adunca","Acacia",1,1,0,1,0,1
"31","Acacia_alata","Acacia",1,1,0,0,0,0
"32","Acacia_alleniana","Acacia",1,1,0,0,0,0
"34","Acacia_alpina","Acacia",1,1,0,0,0,0
"38","Acacia_amoena","Acacia",1,1,0,0,0,1
"39","Acacia_ampliceps","Acacia",1,1,0,0,0,0
"40","Acacia_amythethophylla","Acacia",1,1,0,0,0,0
"41","Acacia_anceps","Acacia",1,1,0,0,0,0
"42","Acacia_ancistrocarpa","Acacia",1,1,0,0,0,0
"44","Acacia_aneura","Acacia",1,1,0,1,0,1
"45","Acacia_angustissima","Acacia",1,1,0,0,0,1
"46","Acacia_arenaria","Acacia",1,1,0,0,0,0
"47","Acacia_argyrodendron","Acacia",1,1,0,0,0,0
"48","Acacia_aroma","Acacia",1,1,0,0,0,1
"50","Acacia_aspera","Acacia",1,1,0,0,0,0
"51","Acacia_ataxacantha","Acacia",0,1,0,0,0,1
"53","Acacia_aulacocarpa","Acacia",1,1,0,1,0,1
"54","Acacia_auriculiformis","Acacia",1,1,0,4,0,1
"56","Acacia_bahiensis","Acacia",1,1,0,0,0,0
"57","Acacia_baileyana","Acacia",1,1,0,2,0,1
"61","Acacia_benthamii","Acacia",1,1,0,0,0,0
"63","Acacia_berlandieri","Acacia",1,1,0,0,0,0
"66","Acacia_bidentata","Acacia",1,1,0,0,0,0
"67","Acacia_biflora","Acacia",1,1,0,0,0,0
"69","Acacia_binervata","Acacia",1,1,0,2,0,0
"70","Acacia_binervia","Acacia",1,1,0,0,0,0
"71","Acacia_bivenosa","Acacia",1,1,0,1,0,0
"72","Acacia_blakei","Acacia",1,1,0,0,0,1
"73","Acacia_blakelyi","Acacia",1,1,0,0,0,1
"74","Acacia_bonariensis","Acacia",0,1,0,0,0,1
"75","Acacia_borleae","Acacia",1,1,0,0,0,0
"76","Acacia_brachybotrya","Acacia",1,1,0,0,0,0
"77","Acacia_brachystachya","Acacia",1,1,0,0,0,1
"79","Acacia_brassii","Acacia",1,1,0,0,0,0
"81","Acacia_brownii","Acacia",1,1,0,0,0,0
"82","Acacia_brumalis","Acacia",1,1,0,0,0,0
"84","Acacia_burkei","Acacia",1,1,0,0,0,0
"85","Acacia_buxifolia","Acacia",1,1,0,1,0,0
"86","Acacia_bynoeana","Acacia",1,1,0,0,0,0
"87","Acacia_caesia","Acacia",1,1,0,3,0,1
"88","Acacia_caffra","Acacia",1,1,0,0,0,1
"89","Acacia_calamifolia","Acacia",1,1,0,1,0,1
"91","Acacia_cambagei","Acacia",1,1,0,1,0,1
"93","Acacia_cana","Acacia",1,1,0,0,0,1
"95","Acacia_cangaiensis","Acacia",1,1,0,0,0,0
"96","Acacia_cardiophylla","Acacia",1,1,0,1,0,0
"97","Acacia_catechu","Acacia",1,1,0,4,0,1
"98","Acacia_catenulata","Acacia",1,1,0,0,0,0
"100","Acacia_caven","Acacia",1,1,0,0,0,1
"101","Acacia_celastrifolia","Acacia",1,1,0,1,0,0
"103","Acacia_chariessa","Acacia",1,1,0,0,0,1
"107","Acacia_chrysotricha","Acacia",1,1,0,1,0,0
"108","Acacia_chundra","Acacia",1,1,0,3,0,1
"109","Acacia_cincinnata","Acacia",1,1,0,1,0,1
"110","Acacia_citrinoviridis","Acacia",1,1,0,0,0,0
"111","Acacia_cochliacantha","Acacia",1,1,0,0,0,1
"113","Acacia_cognata","Acacia",1,1,0,1,0,0
"114","Acacia_colei","Acacia",1,1,0,3,0,0
"115","Acacia_colletioides","Acacia",1,1,0,0,0,0
"116","Acacia_collinsii","Acacia",1,1,0,0,1,1
"117","Acacia_complanata","Acacia",1,1,0,1,0,1
"119","Acacia_concurrens","Acacia",1,1,0,1,0,1
"121","Acacia_confusa","Acacia",1,1,0,3,0,1
"123","Acacia_constricta","Acacia",1,1,0,0,0,1
"125","Acacia_coriacea","Acacia",1,1,0,0,0,1
"126","Acacia_cornigera","Acacia",1,1,0,1,1,1
"127","Acacia_cowleana","Acacia",1,1,0,0,0,0
"129","Acacia_crassicarpa","Acacia",1,1,0,1,0,0
"131","Acacia_cultriformis","Acacia",1,1,0,1,0,1
"133","Acacia_cuthbertsonii","Acacia",1,1,0,0,0,0
"135","Acacia_cyclops","Acacia",1,1,0,4,0,1
"136","Acacia_cyperophylla","Acacia",1,1,0,0,0,0
"137","Acacia_dangarensis","Acacia",1,1,0,0,0,0
"138","Acacia_davyi","Acacia",1,1,0,0,0,0
"140","Acacia_dealbata","Acacia",1,1,0,6,0,1
"141","Acacia_deanei","Acacia",1,1,0,1,0,1
"142","Acacia_decora","Acacia",1,1,0,0,0,1
"143","Acacia_decurrens","Acacia",1,1,0,4,0,1
"144","Acacia_dictyophleba","Acacia",1,1,0,0,0,1
"145","Acacia_difficilis","Acacia",1,1,0,0,0,0
