"","species","mean_wal_score"
"1","Abrus_fruticulosus",0.0964907834101382
"2","Abrus_precatorius",0.126470741901776
"3","Acacia_acinacea",0.0168085341180799
"4","Acacia_acradenia",0.0377917981072555
"5","Acacia_acuminata",0.053
"6","Acacia_adsurgens",0.0267469287469288
"7","Acacia_adunca",0.038879746835443
"8","Acacia_alata",0.053
"9","Acacia_alleniana",0.021985119047619
"10","Acacia_alpina",0.0257413793103448
"11","Acacia_amoena",0.03064
"12","Acacia_ampliceps",0.0422140077821012
"13","Acacia_anceps",0.0153928571428571
"14","Acacia_ancistrocarpa",0.031436
"15","Acacia_aneura",0.0271092964824121
"16","Acacia_argyrodendron",0.043
"17","Acacia_aspera",0.0197837837837838
"18","Acacia_aulacocarpa",0.0446750902527076
"19","Acacia_auriculiformis",0.181861472785484
"20","Acacia_baileyana",0.0477079365079365
"21","Acacia_bidentata",0.053
"22","Acacia_biflora",0.053
"23","Acacia_binervata",0.0361136203246295
"24","Acacia_binervia",0.0357724687144482
"25","Acacia_bivenosa",0.0367906712172924
"26","Acacia_blakei",0.0390425196850394
"27","Acacia_blakelyi",0.053
"28","Acacia_brachybotrya",0.0196426666666666
"29","Acacia_brachystachya",0.0295412293853073
"30","Acacia_brassii",0.043
"31","Acacia_brownii",0.0320570605187319
"32","Acacia_brumalis",0.053
"33","Acacia_buxifolia",0.035030612244898
"34","Acacia_bynoeana",0.036
"35","Acacia_calamifolia",0.017835403726708
"36","Acacia_cambagei",0.0328689516129032
"37","Acacia_cana",0.0368525641025641
"38","Acacia_cangaiensis",0.036
"39","Acacia_cardiophylla",0.036
"40","Acacia_catenulata",0.0450394088669951
"41","Acacia_celastrifolia",0.053
"42","Acacia_chrysotricha",0.036
"43","Acacia_cincinnata",0.043
"44","Acacia_citrinoviridis",0.053
"45","Acacia_cognata",0.0259137931034482
"46","Acacia_colei",0.0386442006269592
"47","Acacia_colletioides",0.0312690829214718
"48","Acacia_complanata",0.040518779342723
"49","Acacia_concurrens",0.0383878852284803
"50","Acacia_confusa",0.168984200743494
"51","Acacia_coriacea",0.046283185840708
"52","Acacia_cowleana",0.0286264090177134
"53","Acacia_crassicarpa",0.0900386740331494
"54","Acacia_cultriformis",0.0412082324455205
"55","Acacia_cuthbertsonii",0.0356818181818181
"56","Acacia_cyclops",0.12669338885997
"57","Acacia_cyperophylla",0.0313260869565217
"58","Acacia_dangarensis",0.036
"59","Acacia_dealbata",0.0498116909249511
"60","Acacia_deanei",0.0360178784266984
