"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 3.29966427","0.60953287"," 5.4134312",0
"EFN1"," 0.63488944","0.25211783"," 2.5182250",0.0119
"abs_med_lat"," 0.03293458","0.01273981"," 2.5851705",0.0098
"fixer1"," 0.70368054","0.30453418"," 2.3106783",0.0209
"woody","-0.32891332","0.12934665","-2.5428823",0.0111
"uses_num_uses"," 0.87733556","0.02543749","34.4898654",0
"annual","-0.08522827","0.14015793","-0.6080874",0.5432
"mean_wal_score","-0.28636957","0.32827797","-0.8723387",0.3831
"EFN1:abs_med_lat"," 0.03516248","0.01057895"," 3.3238148",9e-04
"abs_med_lat:fixer1","-0.01342787","0.01312260","-1.0232631",0.3063
