"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.3025089463","0.301843907","17.56705640",0
"EFN1"," 0.2617558232","0.155773563"," 1.68036102",0.0939
"abs_med_lat"," 0.0002877717","0.008416311"," 0.03419214",0.9727
"fixer1","-0.0013149549","0.254664468","-0.00516348",0.9959
"woody"," 0.0185759803","0.089898096"," 0.20663375",0.8364
"uses_num_uses"," 0.0179889997","0.013416910"," 1.34077069",0.181
"annual","-0.2302153664","0.084590733","-2.72151994",0.0069
"mean_wal_score"," 0.3804521167","0.301494483"," 1.26188749",0.208
"EFN1:abs_med_lat","-0.0070078687","0.005193038","-1.34947372",0.1782
"abs_med_lat:fixer1"," 0.0067716761","0.008652342"," 0.78264085",0.4345
