"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.1668839730","0.282561815","25.36395079",0
"EFN1"," 0.0408972601","0.150810057"," 0.27118390",0.7864
"abs_med_lat","-0.0214732810","0.008133599","-2.64007129",0.0087
"fixer1"," 0.1114272676","0.241930865"," 0.46057483",0.6454
"woody"," 0.0479281645","0.086728206"," 0.55262488",0.5809
"uses_num_uses"," 0.0270544311","0.013058804"," 2.07173883",0.0391
"annual","-0.0615812004","0.082788687","-0.74383594",0.4576
"mean_wal_score"," 1.0404517878","0.292956549"," 3.55155668",4e-04
"EFN1:abs_med_lat"," 0.0022455253","0.005043104"," 0.44526647",0.6564
"abs_med_lat:fixer1","-0.0002607266","0.008353149","-0.03121298",0.9751
