"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 1.622294382","0.285908174"," 5.67417978",0
"EFN1","-0.008771064","0.142271198","-0.06165031",0.9509
"abs_med_lat","-0.006278104","0.007706637","-0.81463596",0.4159
"fixer1"," 0.076597432","0.236903458"," 0.32332762",0.7467
"woody","-0.004749688","0.082346502","-0.05767930",0.954
"uses_num_uses"," 0.057707762","0.012182350"," 4.73699735",0
"annual","-0.064244232","0.076313582","-0.84184532",0.4005
"mean_wal_score"," 0.460250426","0.274250858"," 1.67820961",0.0944
"EFN1:abs_med_lat"," 0.002298463","0.004724965"," 0.48645093",0.627
"abs_med_lat:fixer1"," 0.002111957","0.007929454"," 0.26634325",0.7902
