"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 1.112697052","0.159042885"," 6.9962077",0
"EFN1"," 0.121699801","0.054837102"," 2.2192967",0.0266
"abs_med_lat"," 0.018468844","0.002836813"," 6.5104202",0
"fixer1"," 0.249106631","0.068633830"," 3.6295021",3e-04
"woody","-0.073642256","0.028428906","-2.5904007",0.0096
"uses_num_uses"," 0.052858882","0.005509261"," 9.5945497",0
"annual","-0.093047419","0.030237897","-3.0771789",0.0021
"mean_wal_score"," 0.676713079","0.071489666"," 9.4658867",0
"EFN1:abs_med_lat"," 0.001936745","0.002290072"," 0.8457135",0.3978
"abs_med_lat:fixer1","-0.012939523","0.002914984","-4.4389683",0
