"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 4.982346416","0.175542566","28.3825544",0
"EFN"," 0.118908911","0.067015120"," 1.7743594",0.0761
"abs_med_lat","-0.006190437","0.003407846","-1.8165250",0.0694
"fixer","-0.184790817","0.082396391","-2.2427052",0.025
"woody","-0.014637394","0.034320743","-0.4264883",0.6698
"uses_num_uses"," 0.055600091","0.006781713"," 8.1985315",0
"annual","-0.303385400","0.036932112","-8.2146777",0
"mean_wal_score"," 0.766949758","0.084501661"," 9.0761501",0
"EFN:abs_med_lat"," 0.002895339","0.002802483"," 1.0331335",0.3016
"abs_med_lat:fixer"," 0.010196380","0.003505686"," 2.9085261",0.0037
