"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.424901123","0.267816514","20.2560367",0
"EFN1"," 0.266657657","0.138583998"," 1.9241591",0.0553
"abs_med_lat","-0.004271783","0.008336838","-0.5123984",0.6088
"fixer1","-0.049294056","0.225348572","-0.2187458",0.827
"woody","-0.140436993","0.076510074","-1.8355360",0.0674
"uses_num_uses"," 0.021972689","0.011227729"," 1.9570021",0.0513
"annual","-0.320172033","0.071360959","-4.4866554",0
"mean_wal_score"," 0.173578844","0.198684207"," 0.8736419",0.383
"EFN1:abs_med_lat","-0.003909242","0.004629726","-0.8443787",0.3991
"abs_med_lat:fixer1"," 0.013645677","0.008579819"," 1.5904387",0.1128
