"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 6.889236396","0.164306535","41.9291686",0
"EFN"," 0.262306734","0.064732608"," 4.0521577",1e-04
"abs_med_lat","-0.027829310","0.003277864","-8.4900752",0
"fixer","-0.107419422","0.079084860","-1.3582805",0.1745
"woody"," 0.053850948","0.033092274"," 1.6272967",0.1038
"uses_num_uses"," 0.071686424","0.006556164","10.9342018",0
"annual","-0.098273959","0.035722447","-2.7510422",0.006
"mean_wal_score"," 1.068733006","0.081595481","13.0979436",0
"EFN:abs_med_lat","-0.002612371","0.002709267","-0.9642351",0.335
"abs_med_lat:fixer"," 0.013281787","0.003373421"," 3.9371861",1e-04
