"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 7.007319779","0.226803681","30.8959703",0
"EFN1"," 0.160788915","0.120580855"," 1.3334531",0.1834
"abs_med_lat","-0.019423080","0.007217708","-2.6910316",0.0075
"fixer1"," 0.163399692","0.193270007"," 0.8454477",0.3985
"woody","-0.044089120","0.066502717","-0.6629672",0.5079
"uses_num_uses"," 0.031306935","0.009821050"," 3.1877380",0.0016
"annual","-0.124977100","0.062751149","-1.9916305",0.0473
"mean_wal_score"," 1.047837191","0.173094917"," 6.0535411",0
"EFN1:abs_med_lat","-0.005808278","0.004040270","-1.4375964",0.1516
"abs_med_lat:fixer1"," 0.006688166","0.007427999"," 0.9003994",0.3686
