"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 1.07683935","0.166706244"," 6.459502",0
"EFN"," 0.13892357","0.056713154"," 2.449583",0.0144
"abs_med_lat"," 0.01899005","0.002931496"," 6.477940",0
"fixer"," 0.27195440","0.071337334"," 3.812231",1e-04
"woody","-0.07309007","0.029211102","-2.502133",0.0124
"uses_num_uses"," 0.04004452","0.005720577"," 7.000083",0
"annual","-0.09897310","0.031093745","-3.183055",0.0015
"mean_wal_score"," 0.61025952","0.071604975"," 8.522586",0
"EFN:abs_med_lat"," 0.00239913","0.002364150"," 1.014796",0.3103
"abs_med_lat:fixer","-0.01406982","0.003010558","-4.673492",0
