"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 1.7706444929","0.207931420"," 8.5155216",0
"EFN1"," 0.1235875910","0.103306342"," 1.1963214",0.2325
"abs_med_lat"," 0.0028210222","0.006264847"," 0.4502939",0.6528
"fixer1"," 0.2055299168","0.171320964"," 1.1996776",0.2312
"woody","-0.1126026288","0.057072736","-1.9729671",0.0494
"uses_num_uses"," 0.0190846154","0.008302442"," 2.2986749",0.0222
"annual","-0.0156180275","0.052321350","-0.2985020",0.7655
"mean_wal_score"," 0.3804287008","0.147785551"," 2.5741942",0.0105
"EFN1:abs_med_lat","-0.0005265127","0.003433234","-0.1533577",0.8782
"abs_med_lat:fixer1","-0.0021940632","0.006445495","-0.3404026",0.7338
