"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 5.005324107","0.172976884","28.9363757",0
"EFN1"," 0.143420406","0.065787167"," 2.1800666",0.0293
"abs_med_lat","-0.006482580","0.003359003","-1.9299121",0.0537
"fixer1","-0.165649082","0.080798033","-2.0501623",0.0404
"woody","-0.029056419","0.033929243","-0.8563828",0.3919
"uses_num_uses"," 0.075681231","0.006625161","11.4233044",0
"annual","-0.313196711","0.036439634","-8.5949466",0
"mean_wal_score"," 0.771172944","0.085706185"," 8.9978681",0
"EFN1:abs_med_lat"," 0.002050792","0.002754588"," 0.7445003",0.4566
"abs_med_lat:fixer1"," 0.010319979","0.003456293"," 2.9858516",0.0029
