"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 6.929391880","0.150732872","45.9713385",0
"EFN1"," 0.215996967","0.061478163"," 3.5133933",4e-04
"abs_med_lat","-0.027467041","0.003111804","-8.8267270",0
"fixer1","-0.116372665","0.074469023","-1.5626990",0.1182
"woody"," 0.062198318","0.031570201"," 1.9701591",0.0489
"uses_num_uses"," 0.082611512","0.006200959","13.3223773",0
"annual","-0.077602151","0.034156829","-2.2719366",0.0232
"mean_wal_score"," 1.025599861","0.080056554","12.8109418",0
"EFN1:abs_med_lat","-0.001283601","0.002578747","-0.4977616",0.6187
"abs_med_lat:fixer1"," 0.012313810","0.003204766"," 3.8423436",1e-04
