"","Value","Std.Error","t.value","p.value"
"(Intercept)"," 3.07157224","0.85407651"," 3.5963666",3e-04
"EFN1"," 0.48501273","0.34426656"," 1.4088291",0.159
"abs_med_lat"," 0.09519268","0.01745047"," 5.4550200",0
"fixer1"," 1.40760456","0.41799502"," 3.3675152",8e-04
"woody","-0.68666336","0.17692278","-3.8811472",1e-04
"uses_num_uses"," 0.36792419","0.03471526","10.5983422",0
"annual","-0.75529602","0.19117593","-3.9507904",1e-04
"mean_wal_score"," 5.43720437","0.44833529","12.1275403",0
"EFN1:abs_med_lat"," 0.01047118","0.01443626"," 0.7253385",0.4683
"abs_med_lat:fixer1","-0.06563852","0.01796921","-3.6528326",3e-04
